"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"471" "Burke County" "GA" 1421 21 22645 10652 11115 58 6 699 38707 2012 2930 8671 534 22289 256 827 6504 4110 2849 1007 102 687 6793 1242 62.7511591962906 0.927357032457496 0.0147783251231527 4217 5948 4586 1341 1046 440
"472" "Worth County" "GA" 1054 43 20809 14020 5870 62 114 418 40369 2040 2102 8153 873 20652 90 583 4447 3917 3108 740 134 531 6536 1002 50.6511605555289 2.06641357105099 0.0407969639468691 3364 4869 3951 1288 954 473
"473" "Dawson County" "GA" 2131 20 23397 21707 276 64 18 988 62284 945 673 10665 689 23100 342 1199 2729 2517 3560 1862 618 1204 6619 2822 91.0800529982476 0.854810445783648 0.00938526513374003 3230 4980 4517 1051 3226 1518
"474" "Jenkins County" "GA" 630 34 8929 5022 3170 76 17 575 27197 807 1096 3296 221 8852 221 259 2720 2118 1091 155 11 419 2289 399 70.5566132825624 3.80781722477321 0.053968253968254 1404 2162 1635 420 294 159
"475" "Screven County" "GA" 645 11 14037 7652 5856 76 40 255 36556 1058 1324 5631 328 13656 58 387 3092 2820 1900 440 108 551 3712 1423 45.949989313956 0.783643228610102 0.0170542635658915 2111 3109 2553 550 919 358
"476" "Cook County" "GA" 1063 28 17190 11162 4675 96 53 1003 35539 1265 1302 6902 425 16968 331 738 4099 3267 2228 509 61 761 5603 714 61.8382780686446 1.62885398487493 0.026340545625588 2986 4479 3001 1020 1048 418
"477" "McDuffie County" "GA" 1268 26 21488 11641 8656 100 0 617 40469 1830 2442 8204 721 21177 217 710 5503 4017 3016 987 136 581 6498 1275 59.0096798212956 1.20997766195086 0.0205047318611987 3972 5676 3699 1039 1363 455
"478" "Randolph County" "GA" 390 30 7206 2611 4305 104 0 120 30640 782 1108 2639 259 6977 29 22 2449 1935 715 180 34 660 1773 481 54.1215653621982 4.16319733555371 0.0769230769230769 1062 1654 1322 219 344 150
"479" "Lumpkin County" "GA" 2343 32 31567 28653 677 120 224 1489 43039 1889 1090 14549 922 30161 760 912 6052 5349 4365 1361 337 1035 10014 3171 74.2230810656698 1.0137168562106 0.0136577037985489 4321 5843 5482 1279 2977 1688
"480" "Crawford County" "GA" 427 9 12385 9103 2885 136 18 87 41032 788 746 4604 665 12217 120 464 2207 2315 1743 582 75 333 3547 732 34.4771901493742 0.726685506661284 0.0210772833723653 1881 2654 3009 532 652 354
"481" "Grady County" "GA" 1324 35 25048 14615 7060 136 115 2771 39462 1936 2261 10207 884 24773 1275 753 6284 4609 3254 1041 188 1444 7710 1646 52.8585116576174 1.39731715106995 0.0264350453172205 4369 6311 4693 1584 1418 706
"482" "Long County" "GA" 510 7 17857 10449 4273 152 39 2032 53083 983 1476 5999 1243 17659 913 1093 3530 1855 2769 724 51 914 4730 1593 28.5602284818279 0.392003136025088 0.0137254901960784 3173 5093 4357 978 1093 522
"483" "Franklin County" "GA" 1975 25 22328 18743 2183 152 12 987 39246 2188 1021 8353 558 21680 524 988 5503 4202 3285 718 117 606 6007 1428 88.453959154425 1.11967036904335 0.0126582278481013 3228 4952 3871 1182 1243 436
"484" "Berrien County" "GA" 910 24 19014 15652 2058 184 46 927 38297 1602 991 7062 731 18763 420 662 4445 3761 2872 569 38 973 5822 822 47.8594719680236 1.2622278321237 0.0263736263736264 3300 4565 3494 1225 943 424
"485" "Monroe County" "GA" 1498 68 26795 19316 6311 208 34 631 50666 1129 1354 11047 1143 25637 375 925 3415 3991 3401 1605 593 1131 8440 1750 55.9059526030976 2.53778690054115 0.0453938584779706 4157 5579 4856 1233 2322 1316
"486" "Colquitt County" "GA" 2793 48 45890 25929 10336 384 146 8683 34503 3657 3916 18771 1464 45141 4056 1701 11444 8810 5105 1453 231 3744 15456 1916 60.8629331008934 1.04597951623447 0.0171858216970999 8826 12219 6584 1835 2089 1156
"487" "Chatham County" "GA" 15020 264 285506 140127 112467 7168 668 17845 52215 14781 24621 132386 12654 272450 10816 11239 47119 41588 42152 18502 5185 16205 112939 10714 52.6083514882349 0.924674087409722 0.0175765645805593 41158 62772 60641 13622 38595 17130
"488" "Fayette County" "GA" 4677 85 110306 70754 23263 4871 284 7806 84861 1973 3830 51750 3035 109526 4882 4559 6907 7936 14678 12675 4315 4489 34145 11710 42.4002320816637 0.770583649121535 0.0181740431900791 20850 26215 20681 5859 21811 9202
"489" "Walton County" "GA" 6146 108 88695 67361 14619 1090 188 3557 55876 3836 5931 39299 2932 87387 1451 4060 11200 10062 14003 5259 1164 4500 25588 10389 69.2936467670105 1.21765601217656 0.0175724048161406 15862 22542 17334 4696 7718 2295
"490" "Oconee County" "GA" 2293 42 35972 30524 1946 1474 24 1714 77388 672 1108 16944 780 35713 1036 2297 2476 3145 4534 3777 1237 1328 13648 1714 63.7440231291004 1.16757478038474 0.0183166157871784 7328 9643 5913 1738 5398 3460
"491" "Douglas County" "GA" 8679 113 140152 60795 61725 2308 130 12906 59333 7434 11121 66421 5716 138611 5535 6218 19690 16066 21197 9870 1293 7288 42067 18943 61.9256236086535 0.806267481020606 0.0130199331720244 27262 37286 27091 6916 14692 7113
"492" "Thomas County" "GA" 2942 87 44909 25898 16063 353 46 1570 41336 3389 4039 18686 1917 43990 816 1760 8580 8379 6223 2143 509 2635 14576 2315 65.5102540693402 1.93725088512325 0.0295717199184228 7529 10858 8850 2537 3643 2102
"493" "Bartow County" "GA" 8118 140 102623 80298 10773 962 201 8379 52393 5733 5996 46890 3017 101549 3831 5105 14417 14282 16074 5838 926 4819 33774 8644 79.1050739113064 1.36421659861824 0.0172456270017246 17804 25616 19788 4874 8715 3312
"494" "Habersham County" "GA" 4141 105 43878 33919 1372 1029 43 6210 44474 2343 1377 17338 1005 41274 2662 2216 7114 6831 6181 1824 270 2061 13147 3073 94.3753133688865 2.39299876931492 0.025356194156001 6983 10022 7621 1929 2982 1651
"495" "Richmond County" "GA" 15477 257 201568 71642 111302 3596 367 9645 39430 16031 22697 78704 10363 192621 3547 6654 46692 36608 26424 7964 1365 9317 72327 5571 76.7830211144626 1.27500396888395 0.0166052852620017 31274 47236 40700 10578 16928 6393
"496" "Upson County" "GA" 1484 77 26241 17733 7470 129 81 604 35375 1989 1711 9958 1251 25572 362 774 5817 5657 3691 781 134 1294 7535 1519 56.5527228383065 2.93433939255364 0.0518867924528302 3931 5878 5281 1586 1425 617
"497" "Stewart County" "GA" 650 17 5832 1506 2932 129 10 1182 22413 457 596 1369 183 3954 1761 46 1640 1195 472 77 36 142 926 369 111.454046639232 2.91495198902606 0.0261538461538462 610 832 647 155 416 99
"498" "Gilmer County" "GA" 1966 37 29614 25331 179 145 28 3404 46211 1646 1585 12120 972 29356 1577 1068 5520 5089 4753 1338 288 1998 8206 2766 66.3875194164922 1.24940906328088 0.0188199389623601 3864 6010 5929 1655 2494 1026
"499" "Toombs County" "GA" 2512 68 27160 16434 6890 249 2 3140 35750 2519 2252 10574 1213 26809 1358 1150 6532 5559 3675 1036 251 1560 8804 845 92.4889543446244 2.50368188512518 0.0270700636942675 5060 7357 4531 1116 1709 804
"500" "Troup County" "GA" 4804 133 69433 39751 24339 1289 34 2563 43597 4852 7194 29630 2879 67637 1779 2254 14430 11497 9650 2946 586 2865 23724 3886 69.1890023475869 1.91551567698357 0.0276852622814321 12000 17483 13240 3073 5136 2244
"501" "Carroll County" "GA" 6018 103 114898 81705 21436 901 303 7678 46844 7905 6730 49458 5147 111109 3090 5202 20705 17628 16817 5670 1008 6533 36166 10178 52.3768908074988 0.896447283677697 0.017115320704553 19911 27860 20384 3887 8691 3486
"502" "Liberty County" "GA" 2091 33 62120 25011 24859 1290 275 7734 43493 3402 5885 22406 3028 59949 1413 4650 9931 10300 10242 2292 274 2789 22131 3549 33.6606567933033 0.531229877656149 0.0157819225251076 10600 17810 14246 3421 4787 1611
"503" "Walker County" "GA" 4698 59 68609 62705 2952 419 62 1364 43581 3805 3793 28821 2179 67105 577 2971 11523 11780 10312 2859 613 2715 22488 4786 68.4749814164322 0.859945488201256 0.0125585355470413 10400 15289 13816 3682 4981 1738
"504" "Dougherty County" "GA" 4651 227 91522 23976 62630 775 119 2419 34541 9854 12043 34494 6461 87646 1438 2132 26759 19361 11210 3515 756 5057 28909 2150 50.8183824654182 2.48027796595354 0.0488067082347882 15883 22599 19138 4388 6848 3193
"505" "Jackson County" "GA" 6614 79 63851 52583 4309 1102 55 4516 57999 2677 3099 28016 1958 63275 1856 3243 7898 7327 9600 4169 689 2491 20201 6043 103.58490861537 1.23725548542701 0.0119443604475355 11296 16278 12936 3997 5506 1974
"506" "Mitchell County" "GA" 1311 61 22574 10442 10722 73 17 999 34122 2250 2325 7927 1419 20101 533 612 5438 4674 2554 682 81 1257 6082 986 58.0756622663241 2.70222379728892 0.0465293668954996 3838 5311 3949 1047 1270 508
"507" "Bacon County" "GA" 939 22 11279 8306 1642 105 0 957 38824 702 895 4345 139 10637 484 575 2466 2058 1483 425 23 707 3705 406 83.2520613529568 1.95052752903626 0.0234291799787007 1904 2909 2185 627 535 274
"508" "Brooks County" "GA" 838 31 15629 8873 5252 130 7 875 34890 1268 1167 5865 922 15452 475 590 3641 3485 2021 743 88 585 4460 661 53.6182737219272 1.98349222599015 0.0369928400954654 2701 3397 3226 825 1056 349
"509" "Wayne County" "GA" 2158 52 29833 21243 5831 138 20 1857 41534 2245 1952 10402 1098 27469 646 1376 5863 5000 4116 1154 92 927 8248 1358 72.3360037542319 1.74303623504173 0.0240963855421687 5067 7367 5796 1783 1504 692
"510" "Lamar County" "GA" 1040 32 18282 11887 5293 138 16 415 41157 1020 1310 6951 898 16987 237 720 3525 3063 2322 772 106 837 4763 1467 56.8865550815009 1.75035554096926 0.0307692307692308 2812 3845 3439 920 1499 409
"511" "Greene County" "GA" 1186 28 16732 9438 5995 162 9 1016 45069 1014 1387 6122 425 16579 591 553 3623 3117 2194 1013 469 571 4611 828 70.8821420033469 1.67344011475018 0.0236087689713322 2075 3228 2996 659 1733 847
"512" "Hart County" "GA" 1435 24 25535 19178 4846 234 9 947 41216 1810 1697 9989 494 24642 416 952 4642 4761 3898 981 208 826 7619 1245 56.1973761503818 0.939886430389661 0.0167247386759582 3761 5395 5103 1418 1502 562
"513" "Cherokee County" "GA" 16256 168 235896 188379 14515 4416 169 23664 75477 5535 9085 117102 6009 233748 12313 14107 22072 20399 33889 23275 5587 11149 68736 34516 68.9117238104928 0.71217824804151 0.0103346456692913 43370 60621 48752 11731 38336 12712
"514" "Newton County" "GA" 5726 139 105042 51168 44742 1041 170 5389 52784 7113 9297 46324 4592 103499 2858 4230 17328 13342 15389 6157 935 5390 30907 11860 54.5115287218446 1.32328021172483 0.0242752357666783 19705 28248 21889 5051 8455 3471
"515" "Whitfield County" "GA" 12707 156 103963 61859 4014 1425 136 35516 43871 4808 5651 46465 4064 102648 14915 4834 19710 16100 13937 4170 1177 5002 42049 2404 122.226176620528 1.50053384377134 0.0122766978830566 19451 27869 16812 3149 6158 2211
"516" "Laurens County" "GA" 3174 119 47451 27593 17430 522 37 1217 35202 3594 4690 17192 923 46381 552 1827 12683 9746 5544 1706 441 1631 13730 2335 66.8900550041095 2.50785020336768 0.0374921235034657 7734 11781 7653 2491 2645 1513
"517" "Rockdale County" "GA" 4543 84 88482 30593 45162 1748 94 9030 54175 3846 8282 38732 3683 87480 4060 3431 14232 10333 13479 5308 817 6202 26354 9592 51.3437761352592 0.949345629619584 0.0184899845916795 16654 22617 16664 4958 9998 3586
"518" "Floyd County" "GA" 7906 123 96471 68872 13938 1431 103 10224 46096 5958 6667 41473 3381 92440 4534 4537 16774 15943 13733 4865 965 3507 33676 4298 81.9520892288874 1.27499455795006 0.0155578041993423 15532 22662 17942 4411 7793 3316
"519" "Union County" "GA" 1672 47 22262 20964 185 155 94 680 42767 838 911 7998 463 21744 307 410 2788 4077 3501 973 237 690 6339 746 75.1055610457282 2.11122091456293 0.02811004784689 2846 3605 5578 1576 2091 1378
"520" "Ware County" "GA" 2577 95 35688 22771 10541 406 146 1425 36962 3042 3307 13208 632 33179 535 1006 8240 7287 4943 1546 127 1393 11389 1012 72.2091459314055 2.66195920197265 0.0368645712068296 5549 8514 6675 1769 1912 803
"521" "Muscogee County" "GA" 10782 221 198647 81594 89371 4712 681 14881 43239 14102 19220 79022 8742 190674 5704 8666 41295 33984 27758 8956 2481 9544 72591 5121 54.2771851575911 1.11252624001369 0.0204971248376925 32092 49389 43086 11024 20489 8709
"522" "Columbia County" "GA" 8822 104 143723 100805 23446 5738 327 8953 74162 2933 6079 63139 3857 142975 4370 8757 12269 10373 20130 12399 2921 6215 55252 7933 61.3819639167009 0.723614174488426 0.0117887100430741 25925 37216 31380 10530 20098 8046
"523" "Paulding County" "GA" 7777 124 152399 111299 27271 1436 276 8866 63669 5116 8606 74446 4058 151357 3292 8307 14716 14281 23975 11842 1299 6477 39960 27629 51.0305185729565 0.813653632897854 0.0159444515880159 29816 41977 31841 8403 15601 5950
"524" "Baldwin County" "GA" 3273 77 45527 24064 18857 687 117 999 37008 2761 3638 17647 1735 41822 683 1413 11610 8782 5484 1852 212 1557 13966 2129 71.8914051002702 1.69130406132625 0.0235258172930034 6075 8788 7371 2082 3013 1651
"525" "Clarke County" "GA" 10231 78 123554 68658 33669 5246 125 13135 34557 6772 7759 57801 4742 113233 9200 4278 38618 25419 14064 5500 1308 8368 47451 4861 82.8058986354145 0.631302912087023 0.00762388818297332 13395 21455 16535 4489 14124 8355
"526" "Calhoun County" "GA" 399 12 6503 2113 3933 35 0 312 29617 591 390 1612 283 4582 185 108 1474 1152 575 109 29 167 1073 275 61.3562970936491 1.84530216823005 0.0300751879699248 1025 1177 1204 216 290 131
"527" "Clinch County" "GA" 623 16 6788 4460 1857 39 18 333 21838 571 832 2163 217 6686 132 147 2641 1606 704 236 30 168 1746 133 91.7796110783736 2.35710076605775 0.0256821829855538 1080 1808 1214 262 335 182
"528" "Jasper County" "GA" 521 9 13732 10110 2858 41 26 533 42067 1060 662 5505 429 13511 283 547 2623 2426 2001 652 21 553 3642 1407 37.9405767550248 0.655403437226915 0.017274472168906 2385 3260 2595 666 539 336
"529" "Oglethorpe County" "GA" 950 15 14654 11126 2632 43 18 607 43938 926 707 6390 394 14488 270 511 2543 2367 2553 646 76 586 4907 1035 64.8287157090214 1.02361130066876 0.0157894736842105 2248 3194 2755 798 999 460
"530" "Irwin County" "GA" 615 13 9278 6275 2597 45 0 116 34677 716 710 3301 264 8989 4 306 2204 1828 1145 216 134 278 2759 190 66.2858374649709 1.40116404397499 0.0211382113821138 1444 2047 1800 773 410 212
"531" "Hancock County" "GA" 728 49 8667 2085 6321 47 0 156 29268 711 610 2126 89 6021 173 169 1804 1864 899 171 36 140 1419 561 83.9967693550248 5.65362870658821 0.0673076923076923 1024 1245 1293 226 330 141
"532" "Tattnall County" "GA" 1519 27 25402 14836 7414 49 55 2734 36355 1911 1688 7655 323 19185 943 783 4553 4418 2652 826 148 850 5071 1194 59.7984410676325 1.0629084324069 0.0177748518762344 3963 5295 4122 1043 1310 641
"533" "Marion County" "GA" 309 10 8558 5065 3052 61 0 144 39015 714 644 3413 380 8439 137 295 1952 1665 1219 337 42 353 2194 882 36.106566954896 1.16849731245618 0.0323624595469256 1193 1878 1687 318 426 244
"534" "Heard County" "GA" 492 12 11607 9862 1162 61 2 78 44897 1132 702 4797 510 11330 44 522 1975 1961 1866 507 45 503 3023 1398 42.3882140087878 1.03385887826312 0.024390243902439 1997 2694 1953 478 488 230
"535" "Seminole County" "GA" 645 12 8549 5267 2878 82 0 253 33999 790 866 2853 226 8444 93 229 2149 1889 1095 320 49 331 2283 345 75.447420750965 1.403672944204 0.0186046511627907 1273 1855 1667 364 554 240
"536" "Evans County" "GA" 640 9 10757 6077 3250 82 1 1266 38736 950 937 4308 303 10222 308 473 2657 2058 1418 418 129 380 3091 601 59.4961420470391 0.836664497536488 0.0140625 1700 2846 1533 407 714 266
"537" "Putnam County" "GA" 1408 36 21430 14011 5587 102 2 1406 48340 1246 1270 9127 632 21150 821 686 3425 3564 3563 1228 307 1295 7018 1396 65.7022865142324 1.67988800746617 0.0255681818181818 2729 4223 4317 1282 2284 779
"538" "Quitman County" "GA" 62 1 2140 897 1086 106 0 12 26750 258 165 729 100 2140 60 47 488 606 326 41 5 160 472 153 28.9719626168224 0.467289719626168 0.0161290322580645 237 373 387 47 87 37
"539" "Chattooga County" "GA" 1835 47 24880 20676 2550 110 17 1179 35718 1902 1464 8839 928 22930 560 958 5152 5107 3329 722 95 1024 6827 1395 73.7540192926045 1.88906752411576 0.0256130790190736 3761 5638 4137 1135 1015 569
"540" "Dodge County" "GA" 990 48 21063 13748 5849 118 8 722 35290 1777 1152 7684 761 19025 245 699 4229 4251 2709 845 53 734 5751 1405 47.0018515880929 2.27887765275602 0.0484848484848485 2956 4311 3930 1085 1261 611
"541" "Washington County" "GA" 1385 29 20506 8864 10846 126 0 474 38097 1793 1961 7631 786 18740 325 467 5074 3810 2691 780 103 1096 6147 888 67.5412074514776 1.41422022822589 0.0209386281588448 3160 4623 3354 785 1244 507
"542" "Fannin County" "GA" 1629 39 24480 23327 52 140 20 528 43344 1218 786 9299 841 24118 163 875 3806 4813 4041 1135 186 1388 6588 1562 66.5441176470588 1.59313725490196 0.0239410681399632 3038 4256 5445 1403 2216 778
"543" "Butts County" "GA" 1631 52 23556 15685 6644 140 17 725 39655 1859 1195 8655 710 20778 369 595 4892 4070 2742 1097 144 770 5639 2233 69.2392596366106 2.2075055187638 0.0318822808093194 3423 4978 3929 895 1169 299
"544" "Appling County" "GA" 1613 44 18471 12865 3299 156 103 1798 37089 1419 1744 6951 582 17937 465 719 4435 3529 2329 747 97 796 5577 879 87.3260787179904 2.38211250067674 0.0272783632982021 3024 4635 2904 692 819 425
"545" "Pickens County" "GA" 1915 22 30343 28416 148 164 15 923 61542 1413 982 12994 975 30101 413 1322 2964 3661 4910 2315 493 1393 7966 3324 63.111755594371 0.725043667402696 0.0114882506527415 4248 6204 6634 1654 3479 1592
"546" "Banks County" "GA" 1368 23 18363 16225 462 228 43 1180 42182 915 778 7796 547 18349 660 766 2629 3097 2836 501 55 956 5704 1443 74.4976311060284 1.25251865163644 0.016812865497076 3089 4271 2929 750 923 403
"547" "Coffee County" "GA" 3826 98 43048 25220 12029 312 36 4870 36572 2723 3920 16232 975 39175 1885 1421 9348 7828 5002 1186 313 1507 13811 1336 88.8775320572384 2.27652852629623 0.025614218504966 6995 10586 7270 2279 2373 1048
"548" "Sumter County" "GA" 1578 74 30687 12210 16063 344 24 1626 34219 3383 3649 11558 1370 28600 739 778 9560 6668 3812 1185 206 1456 9070 1036 51.4224264346466 2.41144458565516 0.0468948035487959 5007 7212 5408 1606 1683 918
"549" "Chattahoochee County" "GA" 2198 1 11096 6558 1986 281 90 1699 46096 269 418 2210 395 7579 322 821 1139 1022 1124 292 67 644 3860 241 198.089401586157 0.0901225666906993 0.000454959053685168 1375 2471 1653 393 1224 305
"550" "Meriwether County" "GA" 1106 22 21152 11912 8116 133 36 442 36368 1763 1678 8165 723 20866 130 689 4735 4267 3079 605 157 1157 5223 2322 52.2881996974281 1.04009077155825 0.0198915009041591 3408 4657 4023 770 943 468
"551" "Rabun County" "GA" 1262 26 16354 14237 303 133 79 1320 39297 932 656 6259 380 16045 635 601 3259 3307 2322 679 198 1099 4879 747 77.1676654029595 1.58982511923688 0.0206022187004754 1874 2851 3086 761 1741 839
"552" "Haralson County" "GA" 1401 25 28722 26195 1237 221 67 420 43663 2176 1211 11808 916 28168 163 1317 5064 5044 3866 1930 193 1312 7526 3070 48.7779402548569 0.870412923891094 0.0178443968593862 4950 6943 5459 1072 1533 714
"553" "Macon County" "GA" 464 15 13675 4461 8110 221 61 581 30851 1286 1417 4524 913 11771 176 250 3364 2916 1368 253 81 615 3280 688 33.9305301645338 1.09689213893967 0.0323275862068966 1919 2662 2935 532 504 211
"554" "Crisp County" "GA" 1147 32 23005 11643 9931 282 0 745 33194 2370 2663 8481 1472 22541 387 662 7025 4830 2577 686 219 876 6897 631 49.8587263638339 1.3910019560965 0.027898866608544 3788 5705 4060 845 1286 484
"555" "Harris County" "GA" 1642 34 33198 25606 5295 314 39 1098 69539 973 1079 15123 1403 32667 249 1339 2382 3543 4587 3309 649 1243 12655 1600 49.4608108922224 1.02415808181216 0.0207064555420219 5431 7352 8593 2410 3813 1702
"556" "Catoosa County" "GA" 4082 44 65870 60207 1487 852 132 1885 54537 2824 2620 31464 1798 65233 853 2968 7045 8982 10879 4282 576 3107 26991 2494 61.9705480491878 0.667982389555184 0.0107790298873101 11064 15488 15440 4653 6169 2076
"557" "Coweta County" "GA" 6506 94 138015 98747 23981 2514 133 9328 67570 5107 8245 66983 3808 137036 4967 6885 15900 14478 21060 12428 2565 7637 46612 15162 47.1398036445314 0.681085389269282 0.0144482016600061 23926 35179 27380 6356 18032 6433
"558" "Lee County" "GA" 1326 36 29216 21268 5688 725 10 803 65018 1197 1692 13503 1039 28191 327 1590 3281 2688 4605 2698 301 1057 11747 940 45.3860898138007 1.23220153340635 0.0271493212669683 5730 7828 6537 2272 2881 1592
"559" "Lowndes County" "GA" 6615 107 113941 62123 41124 2139 259 6179 39911 8045 9266 46445 4687 109857 3194 5184 27410 20188 14336 4942 852 4470 42772 2910 58.0563625034009 0.939082507613589 0.0161753590325019 17963 27298 19776 5818 9903 4789
"560" "Gordon County" "GA" 4771 71 56424 44007 2228 599 18 8690 43452 3328 3556 25142 1531 55635 3639 3134 10466 9103 8064 2437 355 3152 20189 3032 84.5562172125337 1.25832978874238 0.0148815761894781 9562 14279 10742 2553 3033 1492
"561" "Houston County" "GA" 7944 131 150341 86402 44634 4536 471 9895 55965 7304 12135 65928 5542 148253 4605 7327 24745 19872 23064 10478 1786 6673 60246 3985 52.8398773455012 0.871352458743789 0.0164904330312185 26304 38821 35551 9911 15147 7621
"562" "Taylor County" "GA" 418 17 8267 4753 3340 75 0 79 29875 927 598 2974 488 8097 71 262 2285 2178 1030 290 56 341 1880 782 50.5624773194629 2.05636869481069 0.0406698564593301 1295 1744 1690 369 419 193
"563" "Wilkes County" "GA" 554 9 9905 5064 4205 79 0 453 34234 848 838 3866 312 9779 301 226 2595 2245 1284 368 74 467 2728 751 55.9313478041393 0.908632004038365 0.0162454873646209 1432 2039 1586 395 541 214
"564" "Early County" "GA" 817 40 10405 4792 5256 79 8 224 29493 987 1273 3682 352 10235 129 246 2812 2392 1256 354 30 264 2970 630 78.5199423354157 3.84430562229697 0.0489596083231334 1741 2582 1889 511 699 427
"565" "Candler County" "GA" 679 28 10894 6670 2561 87 78 1251 33125 997 981 4279 287 10602 426 370 3341 2458 1238 266 99 639 3182 523 62.3278869102258 2.57022214062787 0.0412371134020619 1848 2773 1884 485 681 167
"566" "Charlton County" "GA" 934 15 12963 8042 3280 103 188 1084 43257 644 691 4412 512 11780 1100 348 2719 1635 1264 638 0 612 2271 1629 72.0512227107923 1.15713955102985 0.0160599571734475 2013 2527 2352 718 250 284
"567" "Stephens County" "GA" 2503 62 25625 21224 3006 107 69 809 39756 1933 1285 10114 1339 24898 486 1060 4504 4730 3285 1169 243 732 8219 1076 97.6780487804878 2.41951219512195 0.024770275669197 4124 5762 4462 1208 1824 977
"568" "Decatur County" "GA" 1840 46 27023 13743 11375 119 39 1564 36934 2205 2782 9855 680 25818 579 785 6233 5447 3654 996 214 1168 8044 1336 68.0901454316693 1.70225363579173 0.025 4415 6682 5345 1305 1447 807
"569" "Brantley County" "GA" 734 22 18411 17057 572 127 15 389 36812 1548 904 6430 543 18246 132 654 3970 3554 2459 602 43 652 4193 1710 39.8674705339199 1.19493780891858 0.0299727520435967 2990 4507 3172 881 543 275
"570" "Jones County" "GA" 1267 23 28540 20516 7037 198 48 418 55110 1542 1587 12241 1169 28238 111 1294 4001 3948 4326 1929 269 1231 9660 1561 44.3938332165382 0.805886475122635 0.0181531176006314 5072 6822 5677 1503 2393 1253
"571" "Bulloch County" "GA" 4241 41 73742 47177 21049 1075 178 2737 39305 4522 4783 32662 3343 66213 1568 2630 20153 13472 9216 3301 643 3885 24874 4616 57.5113232621844 0.555992514442245 0.00966753124263145 10346 14819 12796 3343 6282 3229
"572" "Madison County" "GA" 2121 22 28600 23712 2469 413 91 1395 47653 1621 1455 12065 1044 28306 684 864 4977 4617 4269 1455 230 1242 9470 1539 74.1608391608392 0.769230769230769 0.0103724658180104 4497 6606 5457 1587 1827 1018
"573" "Spalding County" "GA" 3035 100 64192 38112 21402 602 259 2791 42398 4757 6802 24789 2237 62957 1165 2131 13624 10930 9332 2644 569 2063 17955 5463 47.2800348953141 1.55782652043868 0.0329489291598023 9880 15521 11317 2907 4527 1458
"574" "Glynn County" "GA" 5412 128 83467 53220 21414 1076 354 5607 47546 6091 6648 37393 2705 82098 2574 2635 15773 14338 11812 5484 1566 3505 31444 2388 64.8399966453808 1.53354020151677 0.0236511456023651 13226 19054 18060 4468 10305 4522
"575" "Hall County" "GA" 20896 270 192865 118722 14050 3304 325 53644 55622 7744 11671 90062 4389 190704 23844 9304 30634 22105 26515 11600 2875 10354 69845 13397 108.345215565292 1.3999429652866 0.0129211332312404 35110 50711 33854 8249 18303 7415
"576" "Bibb County" "GA" 11005 269 153923 60541 83045 2923 259 4864 38183 12634 18429 60590 7014 147580 2666 4845 39473 29493 18695 7136 1995 6457 51450 4422 71.4967873547163 1.74762706028339 0.0244434348023626 24715 38357 27422 6308 14848 6656
"577" "Effingham County" "GA" 2838 39 57087 45248 7543 571 72 2228 64279 1785 2864 26904 1428 56545 1101 3491 5405 5603 8753 4602 626 2347 18679 6708 49.7135950391508 0.683167796521099 0.0137420718816068 10623 15375 11146 2883 4802 1730
"578" "Murray County" "GA" 3251 44 39444 32865 380 143 30 5658 41617 2570 1844 16748 1335 38941 2160 1879 7026 6793 6059 1193 131 1477 13799 2267 82.4206469932056 1.11550552682284 0.0135342971393417 6975 9993 5439 1075 1448 641
"579" "White County" "GA" 2504 47 28509 26374 586 151 41 875 43944 1474 1321 11802 530 28078 303 1428 4981 4896 4657 1540 157 1174 8516 2365 87.8319127293136 1.64860219579782 0.0187699680511182 4070 5971 6678 1853 2396 1212
"580" "Dade County" "GA" 888 8 16282 15274 84 183 109 355 43163 740 614 7719 387 14937 134 494 2619 2877 2158 932 122 945 5777 1117 54.5387544527699 0.491340130205135 0.00900900900900901 2097 3124 3458 1060 1013 415
"581" "Peach County" "GA" 1457 33 27027 12425 11995 302 18 2029 43645 2220 2291 11282 1068 25043 836 747 4685 4643 3672 1677 121 1694 9706 915 53.9090539090539 1.22100122100122 0.0226492793411119 4071 5885 5971 1330 2049 1120
"582" "Tift County" "GA" 3159 80 40531 22836 11892 478 37 4618 38728 2634 3459 16935 694 38582 1846 1876 10725 7643 5148 1897 311 1969 14349 1529 77.9403419604747 1.97379783375688 0.0253244697689142 6436 10111 7859 3036 2154 1402
"583" "Bryan County" "GA" 2018 19 34883 25908 5097 540 162 2316 68589 1182 1907 15250 1315 34738 683 1806 4897 3907 4582 3399 478 1271 12130 2959 57.8505289109308 0.544677923343749 0.00941526263627354 7367 10192 7137 2087 4517 2085
